    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.810000E+01   0.000000E+00  -0.712459E-11  -0.699000E-11  -0.247171E-10  -0.931500E-10  -0.905145E-08   0.919182E-08   0.774461E-08   0.765585E-08  -0.801745E-06
   0.810500E+01   0.000000E+00   0.533396E-11  -0.784128E-11  -0.236165E-10  -0.887036E-10  -0.919957E-08   0.933211E-08   0.782186E-08   0.774135E-08  -0.796757E-06
   0.811000E+01   0.000000E+00   0.148154E-10  -0.836675E-11  -0.224528E-10  -0.714190E-10  -0.946893E-08   0.959314E-08   0.800997E-08   0.793905E-08  -0.798131E-06
   0.811500E+01   0.000000E+00   0.106067E-10  -0.857966E-11  -0.213057E-10  -0.428869E-10  -0.976347E-08   0.988275E-08   0.821477E-08   0.815018E-08  -0.824774E-06
   0.812000E+01   0.000000E+00   0.252103E-11  -0.731134E-11  -0.200747E-10  -0.303008E-10  -0.991906E-08   0.100336E-07   0.828148E-08   0.822204E-08  -0.858960E-06
   0.812500E+01   0.000000E+00   0.616706E-11  -0.574633E-11  -0.185041E-10  -0.519680E-10  -0.993849E-08   0.100397E-07   0.821530E-08   0.816891E-08  -0.867914E-06
   0.813000E+01   0.000000E+00   0.178347E-10  -0.758771E-11  -0.167915E-10  -0.880449E-10  -0.100460E-07   0.101269E-07   0.823305E-08   0.820744E-08  -0.855756E-06
   0.813500E+01   0.000000E+00   0.215962E-10  -0.109862E-10  -0.153488E-10  -0.113632E-09  -0.103443E-07   0.104092E-07   0.843177E-08   0.842347E-08  -0.856142E-06
   0.814000E+01   0.000000E+00   0.138481E-10  -0.908718E-11  -0.140951E-10  -0.124604E-09  -0.106522E-07   0.107099E-07   0.863424E-08   0.863457E-08  -0.882269E-06
   0.814500E+01   0.000000E+00   0.520383E-11  -0.289996E-11  -0.126597E-10  -0.125780E-09  -0.107671E-07   0.108173E-07   0.864577E-08   0.865470E-08  -0.913904E-06
   0.815000E+01   0.000000E+00   0.690644E-11  -0.198391E-11  -0.110371E-10  -0.123792E-09  -0.107556E-07   0.107874E-07   0.853296E-08   0.856180E-08  -0.926006E-06
   0.815500E+01   0.000000E+00   0.184404E-10  -0.786215E-11  -0.954218E-11  -0.126126E-09  -0.108461E-07   0.108512E-07   0.851620E-08   0.857413E-08  -0.918117E-06
   0.816000E+01   0.000000E+00   0.280924E-10  -0.105785E-10  -0.835996E-11  -0.134016E-09  -0.110965E-07   0.110823E-07   0.865342E-08   0.873371E-08  -0.910032E-06
   0.816500E+01   0.000000E+00   0.250004E-10  -0.469889E-11  -0.745313E-11  -0.140606E-09  -0.113792E-07   0.113607E-07   0.882499E-08   0.891289E-08  -0.921455E-06
   0.817000E+01   0.000000E+00   0.118193E-10   0.203546E-11  -0.659265E-11  -0.135584E-09  -0.115456E-07   0.115228E-07   0.888007E-08   0.897568E-08  -0.954169E-06
