   EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.793000E+01   0.000000E+00   0.452012E-10  -0.468679E-10  -0.890637E-12  -0.138404E-10  -0.648654E-09   0.633775E-09   0.599330E-09   0.615115E-09  -0.587269E-07
   0.793500E+01   0.000000E+00   0.350068E-10  -0.333280E-10  -0.120037E-11  -0.129067E-10  -0.859233E-09   0.841128E-09   0.793010E-09   0.813113E-09  -0.752428E-07
   0.794000E+01   0.000000E+00   0.253906E-10  -0.180836E-10  -0.158492E-11  -0.185717E-10  -0.109180E-08   0.107115E-08   0.100724E-08   0.103136E-08  -0.928883E-07
   0.794500E+01   0.000000E+00   0.273290E-10  -0.135383E-10  -0.205167E-11  -0.315865E-10  -0.134182E-08   0.131910E-08   0.123748E-08   0.126537E-08  -0.111346E-06
   0.795000E+01   0.000000E+00   0.335528E-10  -0.151130E-10  -0.260905E-11  -0.466424E-10  -0.161060E-08   0.158594E-08   0.148465E-08   0.151606E-08  -0.130833E-06
   0.795500E+01   0.000000E+00   0.317275E-10  -0.134844E-10  -0.326453E-11  -0.629043E-10  -0.189592E-08   0.186938E-08   0.174645E-08   0.178091E-08  -0.151333E-06
   0.796000E+01   0.000000E+00   0.229309E-10  -0.815473E-11  -0.402219E-11  -0.915240E-10  -0.218668E-08   0.215759E-08   0.201132E-08   0.204928E-08  -0.172947E-06
   0.796500E+01   0.000000E+00   0.145549E-10  -0.323229E-11  -0.488863E-11  -0.125757E-09  -0.248671E-08   0.245416E-08   0.228196E-08   0.232475E-08  -0.197764E-06
   0.797000E+01   0.000000E+00   0.541487E-11   0.146896E-11  -0.583400E-11  -0.131942E-09  -0.279297E-08   0.275788E-08   0.255726E-08   0.260430E-08  -0.224766E-06
   0.797500E+01   0.000000E+00  -0.743126E-11   0.697594E-11  -0.686419E-11  -0.103493E-09  -0.310637E-08   0.307033E-08   0.284051E-08   0.289009E-08  -0.250288E-06
   0.798000E+01   0.000000E+00  -0.173026E-10   0.103686E-10  -0.802182E-11  -0.657208E-10  -0.345417E-08   0.341819E-08   0.315706E-08   0.320829E-08  -0.277283E-06
