   EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.793000E+01   0.000000E+00   0.310092E-10   0.101044E-11  -0.312537E-13   0.628272E-12   0.133731E-11   0.381741E-12  -0.147344E-11   0.901645E-12   0.335497E-08
   0.793500E+01   0.000000E+00   0.391767E-10  -0.924881E-11  -0.176615E-13  -0.185121E-11   0.120724E-11  -0.539086E-12  -0.136831E-11   0.103905E-11   0.126432E-08
   0.794000E+01   0.000000E+00   0.138195E-10   0.244752E-11  -0.275366E-13  -0.332246E-11   0.682532E-12  -0.117628E-11  -0.121959E-11   0.894209E-12  -0.885520E-09
   0.794500E+01   0.000000E+00  -0.582006E-11   0.163429E-10  -0.587553E-13  -0.231757E-11   0.189628E-12  -0.143912E-11  -0.132404E-11   0.586407E-12  -0.334582E-08
   0.795000E+01   0.000000E+00   0.704436E-11   0.199712E-10  -0.783407E-13   0.491273E-11   0.961042E-13  -0.142022E-11  -0.144232E-11   0.367073E-12  -0.550883E-08
   0.795500E+01   0.000000E+00   0.344040E-10   0.179694E-10  -0.613756E-13   0.187593E-10   0.540327E-12  -0.172743E-11  -0.194867E-11   0.431922E-12  -0.877399E-08
   0.796000E+01   0.000000E+00   0.415014E-10   0.162721E-10  -0.291287E-13   0.271754E-10   0.999810E-12  -0.311220E-11  -0.343249E-11   0.619945E-12  -0.131607E-07
   0.796500E+01   0.000000E+00   0.352937E-10   0.159889E-10  -0.863513E-14   0.755286E-11   0.963731E-12  -0.522867E-11  -0.526103E-11   0.641599E-12  -0.175787E-07
   0.797000E+01   0.000000E+00   0.410182E-10   0.167382E-10  -0.110545E-14  -0.314868E-10   0.446929E-12  -0.567846E-11  -0.480671E-11   0.400992E-12  -0.221418E-07
   0.797500E+01   0.000000E+00   0.409885E-10   0.159652E-10   0.925738E-15  -0.410749E-10  -0.135100E-12  -0.305732E-11  -0.109819E-11   0.113516E-13  -0.225256E-07
   0.798000E+01   0.000000E+00   0.121185E-10   0.114596E-10   0.258805E-14  -0.934346E-11  -0.166002E-12  -0.217913E-11  -0.782364E-13  -0.393635E-12  -0.243697E-07
