   EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.817000E+01   0.000000E+00  -0.160930E-10  -0.419748E-12   0.836554E-12  -0.829266E-11  -0.181895E-11   0.164958E-10   0.219823E-10   0.127919E-11  -0.188882E-06
   0.817500E+01   0.000000E+00  -0.415626E-11   0.305706E-11   0.780999E-12  -0.129147E-10  -0.495140E-12  -0.866982E-11  -0.211036E-11   0.509333E-13  -0.165020E-06
   0.818000E+01   0.000000E+00   0.571363E-11   0.313820E-11   0.728899E-12  -0.214381E-10   0.138648E-11  -0.409365E-10  -0.298324E-10  -0.171519E-11  -0.161218E-06
   0.818500E+01   0.000000E+00   0.174319E-11  -0.621984E-12   0.725320E-12  -0.108285E-10   0.131069E-11  -0.413814E-10  -0.274381E-10  -0.161411E-11  -0.171433E-06
   0.819000E+01   0.000000E+00  -0.906957E-11  -0.437979E-11   0.743542E-12   0.156293E-10  -0.716527E-12  -0.130734E-10  -0.176218E-11   0.323040E-12  -0.205753E-06
   0.819500E+01   0.000000E+00  -0.146702E-10  -0.313901E-11   0.728972E-12   0.242107E-10  -0.219328E-11   0.123536E-10   0.187177E-10   0.169085E-11  -0.239660E-06
   0.820000E+01   0.000000E+00  -0.113995E-10   0.242595E-11   0.671542E-12   0.159263E-10  -0.132516E-11   0.686434E-11   0.110150E-10   0.858312E-12  -0.218135E-06
   0.820500E+01   0.000000E+00  -0.350574E-11   0.485088E-11   0.596979E-12   0.951713E-11   0.856038E-12  -0.232300E-10  -0.175455E-10  -0.119014E-11  -0.169097E-06
   0.821000E+01   0.000000E+00   0.594992E-12   0.373273E-12   0.529299E-12   0.491923E-11   0.159955E-11  -0.402221E-10  -0.320898E-10  -0.192229E-11  -0.179791E-06
   0.821500E+01   0.000000E+00  -0.237582E-11  -0.538762E-11   0.486765E-12  -0.814391E-12  -0.979902E-13  -0.291791E-10  -0.211134E-10  -0.393565E-12  -0.234204E-06
   0.822000E+01   0.000000E+00  -0.864681E-11  -0.484419E-11   0.466494E-12  -0.477462E-11  -0.222860E-11  -0.535970E-11  -0.630162E-12   0.155811E-11  -0.245671E-06
   0.822500E+01   0.000000E+00  -0.128822E-10   0.105147E-11   0.425375E-12  -0.332221E-11  -0.240209E-11   0.121595E-10   0.131584E-10   0.174242E-11  -0.226494E-06
   0.823000E+01   0.000000E+00  -0.113687E-10   0.424383E-11   0.327303E-12   0.147515E-11  -0.435462E-12   0.521340E-11   0.562240E-11  -0.883671E-13  -0.229627E-06
   0.823500E+01   0.000000E+00  -0.617710E-11   0.125706E-11   0.204224E-12   0.308358E-11   0.135842E-11  -0.202234E-10  -0.175856E-10  -0.185552E-11  -0.237204E-06
   0.824000E+01   0.000000E+00  -0.331734E-11  -0.379604E-11   0.121085E-12   0.194960E-11   0.684023E-12  -0.341529E-10  -0.304179E-10  -0.130395E-11  -0.223105E-06
