    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.803000E+01   0.000000E+00  -0.332595E-10   0.135971E-10  -0.216287E-10   0.553220E-10  -0.613671E-08   0.618789E-08   0.553175E-08   0.551753E-08  -0.571432E-06
   0.803500E+01   0.000000E+00  -0.174508E-10   0.408104E-13  -0.228680E-10   0.131500E-10  -0.631874E-08   0.638122E-08   0.568272E-08   0.565892E-08  -0.582202E-06
   0.804000E+01   0.000000E+00  -0.128064E-10  -0.180351E-11  -0.236921E-10  -0.348327E-10  -0.659648E-08   0.667267E-08   0.592880E-08   0.589298E-08  -0.594272E-06
   0.804500E+01   0.000000E+00  -0.147460E-10  -0.279247E-11  -0.247034E-10  -0.610722E-10  -0.691427E-08   0.700656E-08   0.620886E-08   0.615886E-08  -0.621424E-06
   0.805000E+01   0.000000E+00  -0.171362E-10  -0.376101E-11  -0.258632E-10  -0.687900E-10  -0.712401E-08   0.722871E-08   0.637614E-08   0.631546E-08  -0.648651E-06
   0.805500E+01   0.000000E+00  -0.150517E-10  -0.303249E-11  -0.264645E-10  -0.708937E-10  -0.724479E-08   0.735779E-08   0.645909E-08   0.639114E-08  -0.658431E-06
   0.806000E+01   0.000000E+00  -0.954561E-11  -0.323932E-11  -0.266566E-10  -0.750062E-10  -0.744601E-08   0.756758E-08   0.662239E-08   0.654679E-08  -0.661645E-06
   0.806500E+01   0.000000E+00  -0.816580E-11  -0.497143E-11  -0.271280E-10  -0.799388E-10  -0.776198E-08   0.789385E-08   0.688803E-08   0.680363E-08  -0.680532E-06
   0.807000E+01   0.000000E+00  -0.130498E-10  -0.503677E-11  -0.276447E-10  -0.814929E-10  -0.801094E-08   0.815157E-08   0.708028E-08   0.698847E-08  -0.711486E-06
   0.807500E+01   0.000000E+00  -0.143587E-10  -0.442122E-11  -0.275141E-10  -0.814252E-10  -0.810748E-08   0.825225E-08   0.712636E-08   0.703071E-08  -0.729494E-06
   0.808000E+01   0.000000E+00  -0.704821E-11  -0.582963E-11  -0.269710E-10  -0.847590E-10  -0.823307E-08   0.837959E-08   0.720255E-08   0.710518E-08  -0.729597E-06
   0.808500E+01   0.000000E+00  -0.269225E-12  -0.730839E-11  -0.266462E-10  -0.906921E-10  -0.851340E-08   0.866240E-08   0.742230E-08   0.732327E-08  -0.734342E-06
   0.809000E+01   0.000000E+00  -0.249163E-11  -0.678096E-11  -0.263763E-10  -0.942759E-10  -0.880941E-08   0.895908E-08   0.764609E-08   0.754755E-08  -0.758114E-06
   0.809500E+01   0.000000E+00  -0.888369E-11  -0.623847E-11  -0.257095E-10  -0.942902E-10  -0.897103E-08   0.911724E-08   0.773362E-08   0.763906E-08  -0.788224E-06
   0.810000E+01   0.000000E+00  -0.712459E-11  -0.699000E-11  -0.247171E-10  -0.931500E-10  -0.905145E-08   0.919182E-08   0.774461E-08   0.765585E-08  -0.801745E-06
