    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.824000E+01   0.000000E+00  -0.451909E-11  -0.286948E-11  -0.195606E-10  -0.162232E-09  -0.125393E-07   0.123121E-07   0.813548E-08   0.853539E-08  -0.103920E-05
   0.824500E+01   0.000000E+00  -0.327993E-12  -0.514361E-11  -0.220100E-10  -0.170723E-09  -0.126888E-07   0.124643E-07   0.817367E-08   0.858073E-08  -0.102062E-05
   0.825000E+01   0.000000E+00  -0.501069E-11   0.674471E-11  -0.250577E-10  -0.177815E-09  -0.129386E-07   0.127519E-07   0.834202E-08   0.872131E-08  -0.103000E-05
   0.825500E+01   0.000000E+00  -0.208232E-10   0.166951E-10  -0.289367E-10  -0.175927E-09  -0.130652E-07   0.129052E-07   0.837136E-08   0.873471E-08  -0.106473E-05
   0.826000E+01   0.000000E+00  -0.372050E-10   0.126860E-10  -0.329289E-10  -0.168913E-09  -0.129099E-07   0.127359E-07   0.807580E-08   0.846451E-08  -0.109281E-05
   0.826500E+01   0.000000E+00  -0.415864E-10   0.795274E-12  -0.366771E-10  -0.165896E-09  -0.126382E-07   0.124256E-07   0.764391E-08   0.808270E-08  -0.108521E-05
   0.827000E+01   0.000000E+00  -0.342986E-10  -0.669791E-11  -0.406644E-10  -0.168557E-09  -0.125613E-07   0.123286E-07   0.743691E-08   0.790682E-08  -0.105173E-05
   0.827500E+01   0.000000E+00  -0.281423E-10  -0.686121E-11  -0.451463E-10  -0.172310E-09  -0.127362E-07   0.125250E-07   0.753082E-08   0.798969E-08  -0.103198E-05
   0.828000E+01   0.000000E+00  -0.334002E-10  -0.200742E-11  -0.495277E-10  -0.175186E-09  -0.129593E-07   0.127897E-07   0.768468E-08   0.811230E-08  -0.105075E-05
   0.828500E+01   0.000000E+00  -0.502307E-10   0.431241E-11  -0.534168E-10  -0.175610E-09  -0.129800E-07   0.128379E-07   0.760196E-08   0.801230E-08  -0.109001E-05
   0.829000E+01   0.000000E+00  -0.704545E-10   0.475838E-11  -0.576612E-10  -0.171288E-09  -0.127163E-07   0.125762E-07   0.720137E-08   0.762092E-08  -0.110651E-05
