    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.824000E+01   0.000000E+00  -0.331734E-11  -0.379604E-11   0.121085E-12   0.194960E-11   0.684023E-12  -0.341529E-10  -0.304179E-10  -0.130395E-11  -0.223105E-06
   0.824500E+01   0.000000E+00  -0.359041E-11  -0.563326E-11   0.783737E-13   0.106027E-11  -0.167196E-11  -0.244723E-10  -0.232296E-10   0.881473E-12  -0.218322E-06
   0.825000E+01   0.000000E+00  -0.458250E-11  -0.258341E-11   0.192827E-13  -0.191537E-11  -0.298598E-11  -0.192969E-11  -0.509769E-11   0.210649E-11  -0.256912E-06
   0.825500E+01   0.000000E+00  -0.877817E-11   0.237713E-11  -0.732929E-13  -0.452027E-11  -0.197734E-11   0.150346E-10   0.899649E-11   0.121098E-11  -0.291460E-06
   0.826000E+01   0.000000E+00  -0.147178E-10   0.328362E-11  -0.174461E-12  -0.159933E-11   0.172977E-12   0.101224E-10   0.437381E-11  -0.740254E-12  -0.268596E-06
   0.826500E+01   0.000000E+00  -0.136215E-10  -0.158497E-11  -0.277915E-12   0.317518E-11   0.108586E-11  -0.988618E-11  -0.139938E-10  -0.163008E-11  -0.236108E-06
   0.827000E+01   0.000000E+00  -0.499586E-11  -0.601177E-11  -0.387859E-12   0.453405E-11  -0.306745E-12  -0.233699E-10  -0.276850E-10  -0.407947E-12  -0.247033E-06
   0.827500E+01   0.000000E+00   0.247847E-11  -0.438999E-11  -0.482373E-12   0.231173E-11  -0.248763E-11  -0.214720E-10  -0.289810E-10   0.165093E-11  -0.268482E-06
   0.828000E+01   0.000000E+00   0.973275E-12   0.756635E-12  -0.536579E-12  -0.168576E-11  -0.320349E-11  -0.471049E-11  -0.163935E-10   0.248843E-11  -0.272267E-06
   0.828500E+01   0.000000E+00  -0.107642E-10   0.244682E-11  -0.577212E-12  -0.404594E-11  -0.166870E-11   0.176492E-10   0.394708E-11   0.123200E-11  -0.290081E-06
   0.829000E+01   0.000000E+00  -0.210131E-10  -0.566142E-12  -0.661671E-12  -0.243382E-11   0.697100E-12   0.226565E-10   0.990630E-11  -0.955975E-12  -0.318214E-06
