   EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.798000E+01   0.000000E+00  -0.173026E-10   0.103686E-10  -0.802182E-11  -0.657208E-10  -0.345417E-08   0.341819E-08   0.315706E-08   0.320829E-08  -0.277283E-06
   0.798500E+01   0.000000E+00  -0.166454E-10   0.915111E-11  -0.923187E-11  -0.337119E-10  -0.381268E-08   0.377817E-08   0.348183E-08   0.353385E-08  -0.311388E-06
   0.799000E+01   0.000000E+00  -0.107919E-10   0.674905E-11  -0.104863E-10  -0.220123E-10  -0.412575E-08   0.409279E-08   0.375997E-08   0.381287E-08  -0.349286E-06
   0.799500E+01   0.000000E+00  -0.110513E-10   0.107642E-10  -0.118988E-10  -0.469942E-10  -0.441640E-08   0.438454E-08   0.401559E-08   0.406956E-08  -0.382660E-06
   0.800000E+01   0.000000E+00  -0.242509E-10   0.270383E-10  -0.133288E-10  -0.887623E-10  -0.470774E-08   0.468106E-08   0.427516E-08   0.432595E-08  -0.410714E-06
   0.800500E+01   0.000000E+00  -0.545526E-10   0.573106E-10  -0.146581E-10  -0.957816E-10  -0.495901E-08   0.494353E-08   0.449919E-08   0.454080E-08  -0.441076E-06
   0.801000E+01   0.000000E+00  -0.100478E-09   0.100040E-09  -0.161182E-10  -0.538161E-10  -0.516449E-08   0.516070E-08   0.467692E-08   0.470896E-08  -0.473433E-06
   0.801500E+01   0.000000E+00  -0.131666E-09   0.128618E-09  -0.176567E-10  -0.424900E-11  -0.537769E-08   0.538368E-08   0.486018E-08   0.488466E-08  -0.497570E-06
   0.802000E+01   0.000000E+00  -0.113415E-09   0.106597E-09  -0.189327E-10   0.311049E-10  -0.564724E-08   0.566614E-08   0.510071E-08   0.511452E-08  -0.517928E-06
   0.802500E+01   0.000000E+00  -0.672127E-10   0.527435E-10  -0.201614E-10   0.578277E-10  -0.593051E-08   0.596667E-08   0.535571E-08   0.535447E-08  -0.546135E-06
   0.803000E+01   0.000000E+00  -0.332595E-10   0.135971E-10  -0.216287E-10   0.553220E-10  -0.613671E-08   0.618789E-08   0.553175E-08   0.551753E-08  -0.571432E-06
