G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         0.8051280111      0.5000000000      0.0000000000      0.0000000000
M                             201         1.6102560221      0.5000000000      0.5000000000      0.0000000000
G                             342         2.7488789748      0.0000000000      0.0000000000      0.0000000000
Z                             436         3.5048004135      0.0000000000      0.0000000000      0.5000000000
R                             536         4.3099284246      0.0000000000      0.5000000000      0.5000000000
A                             636         5.1150564357      0.5000000000      0.5000000000      0.5000000000
